race_id,model_a,model_b,n_valid,pearson,spearman,disagree_rate,total_disagree,a_not_b,b_not_a
42,gru,lstm,557,0.8364274836992767,0.8888733572127645,0.13464991023339318,75,68,7
42,gru,tcn,557,0.7765797435637575,0.8331987563363336,0.13644524236983843,76,37,39
42,gru,tcn_gru,557,0.7404814029317646,0.8255246732133027,0.12028725314183124,67,43,24
42,lstm,tcn,557,0.7231397972513068,0.8399345503038119,0.1490125673249551,83,10,73
42,lstm,tcn_gru,557,0.752875260511118,0.8324054603540193,0.12567324955116696,70,14,56
42,tcn,tcn_gru,557,0.8244985022887604,0.8863459762102867,0.09156193895870736,51,36,15
43,gru,lstm,520,0.8433611764928307,0.8514468789284892,0.1076923076923077,56,31,25
43,gru,tcn,520,0.6515163027715625,0.7454776659108034,0.1423076923076923,74,35,39
43,gru,tcn_gru,520,0.689892086115201,0.6712066527328416,0.14038461538461539,73,19,54
43,lstm,tcn,520,0.6928820472697199,0.6669350165439277,0.12692307692307692,66,28,38
43,lstm,tcn_gru,520,0.7157146170531876,0.6710346846412437,0.14423076923076922,75,17,58
43,tcn,tcn_gru,520,0.7852532496537934,0.7343279034657328,0.11346153846153846,59,14,45
44,gru,lstm,550,0.7388781535595507,0.5019125592902035,0.02,11,4,7
44,gru,tcn,550,0.7082619981153643,0.42381143258475085,0.02181818181818182,12,5,7
44,gru,tcn_gru,550,0.6345619219790616,0.41067143422562774,0.04727272727272727,26,6,20
44,lstm,tcn,550,0.6793199109764981,0.4811891849980571,0.02727272727272727,15,8,7
44,lstm,tcn_gru,550,0.6559527607307063,0.6173513901924244,0.04909090909090909,27,8,19
44,tcn,tcn_gru,550,0.7864062930446836,0.5105387395720917,0.04363636363636364,24,6,18
45,gru,lstm,661,0.9548738464659159,0.7812121655328187,0.025718608169440244,17,6,11
45,gru,tcn,661,0.8854373758274834,0.506630237823477,0.04084720121028744,27,22,5
45,gru,tcn_gru,661,0.9096414409682073,0.5780968221644484,0.02723146747352496,18,14,4
45,lstm,tcn,661,0.8807877988786087,0.6778041809098846,0.039334341906202726,26,24,2
45,lstm,tcn_gru,661,0.9037305482860349,0.6451967651985021,0.03177004538577912,21,18,3
45,tcn,tcn_gru,661,0.8908834632393479,0.6730538193153199,0.03177004538577912,21,7,14
46,gru,lstm,455,0.8394032219145547,0.8494548808483425,0.06373626373626373,29,24,5
46,gru,tcn,455,0.681305186428067,0.6364535534023129,0.08351648351648351,38,34,4
46,gru,tcn_gru,455,0.7430199533488944,0.5178286702863564,0.07692307692307693,35,27,8
46,lstm,tcn,455,0.7499595759712222,0.6811188000499385,0.046153846153846156,21,16,5
46,lstm,tcn_gru,455,0.8091372484245656,0.7048571530486671,0.05274725274725275,24,12,12
46,tcn,tcn_gru,455,0.8060322153298609,0.651191134393082,0.041758241758241756,19,4,15
47,gru,lstm,440,0.7384003524300714,0.7406410814481105,0.04318181818181818,19,15,4
47,gru,tcn,440,0.6082314655864334,0.5608873824949321,0.05909090909090909,26,16,10
47,gru,tcn_gru,440,0.6578324121760695,0.5261449040166906,0.05227272727272727,23,13,10
47,lstm,tcn,440,0.5765108947355528,0.657632529093642,0.04772727272727273,21,8,13
47,lstm,tcn_gru,440,0.5985755011775016,0.6152852029194366,0.03636363636363636,16,4,12
47,tcn,tcn_gru,440,0.7250059989950429,0.7025534504545243,0.038636363636363635,17,7,10
48,gru,lstm,519,0.8469438197719162,0.8248868222856663,0.0674373795761079,35,26,9
48,gru,tcn,519,0.7085985534558986,0.6205622061113392,0.0905587668593449,47,14,33
48,gru,tcn_gru,519,0.6928884957920448,0.6073628605420514,0.10211946050096339,53,22,31
48,lstm,tcn,519,0.6238646690798385,0.5971664798254395,0.13102119460500963,68,16,52
48,lstm,tcn_gru,519,0.6732819760657128,0.6167884138982406,0.10789980732177264,56,15,41
48,tcn,tcn_gru,519,0.6805820788561333,0.643929004911664,0.10789980732177264,56,33,23
49,gru,lstm,600,0.8714777092948109,0.8403462231839531,0.045,27,10,17
49,gru,tcn,600,0.7285345230763765,0.7017165603237786,0.06,36,29,7
49,gru,tcn_gru,600,0.7387773875297338,0.5676122433673426,0.06,36,31,5
49,lstm,tcn,600,0.6893022618088155,0.773973316592546,0.075,45,37,8
49,lstm,tcn_gru,600,0.7235846520510707,0.568408690024139,0.07166666666666667,43,38,5
49,tcn,tcn_gru,600,0.8462103873045013,0.6773133258703496,0.023333333333333334,14,9,5
50,gru,lstm,630,0.9525646572069258,0.8256099458672407,0.020634920634920634,13,8,5
50,gru,tcn,630,0.8889999480553166,0.549283870827639,0.022222222222222223,14,9,5
50,gru,tcn_gru,630,0.8794054101131005,0.5423789595505827,0.025396825396825397,16,9,7
50,lstm,tcn,630,0.9108074052198954,0.7028387334717157,0.020634920634920634,13,7,6
50,lstm,tcn_gru,630,0.9177880955216516,0.6156335802835291,0.020634920634920634,13,6,7
50,tcn,tcn_gru,630,0.9419617693564288,0.6053146782334813,0.012698412698412698,8,3,5
51,gru,lstm,694,0.9475079694466761,0.7034500368566258,0.01729106628242075,12,7,5
51,gru,tcn,694,0.8594769273380788,0.5633541118001966,0.024495677233429394,17,11,6
51,gru,tcn_gru,694,0.8221696580011674,0.446996420603702,0.02881844380403458,20,14,6
51,lstm,tcn,694,0.888482246801914,0.7122779997492332,0.01585014409221902,11,7,4
51,lstm,tcn_gru,694,0.8086905628346388,0.7084423258204695,0.02881844380403458,20,13,7
51,tcn,tcn_gru,694,0.841075997026526,0.6751659041792354,0.024495677233429394,17,10,7
52,gru,lstm,530,0.897795574093981,0.7380940319178713,0.03773584905660377,20,9,11
52,gru,tcn,530,0.8777766097589998,0.6751078528393373,0.03962264150943396,21,3,18
52,gru,tcn_gru,530,0.90541431911804,0.4453863125583244,0.03773584905660377,20,3,17
52,lstm,tcn,530,0.9117474291507653,0.7907208573658416,0.035849056603773584,19,3,16
52,lstm,tcn_gru,530,0.876503051500685,0.6446384307741848,0.04905660377358491,26,7,19
52,tcn,tcn_gru,530,0.9213490058709123,0.6275848560890785,0.024528301886792454,13,7,6
54,gru,lstm,530,0.8498282860308397,0.7841496376156688,0.02830188679245283,15,13,2
54,gru,tcn,530,0.7512000768801206,0.712499040311743,0.03018867924528302,16,13,3
