slice_col,slice_value,ablation_name,fold_id,threshold_used,PR_AUC,LogLoss,F1,Precision,Recall,TP,FP,FN,TN,n_rows,n_pos,pos_rate
slice_phase_x_tyre,mid×6_15,stream_p_rf,0,0.13,0.03632736704442531,0.049488483175108816,0.0,0.0,0.0,0,7,15,2396,2418,15,0.00620347394540943
slice_phase_x_tyre,mid×nan,stream_p_rf,0,0.13,,,0.0,0.0,0.0,0,0,0,20,20,0,0.0
slice_phase_x_tyre,early×0_5,stream_p_rf,1,0.17,0.08716915489318973,0.056775140435487086,0.0,0.0,0.0,0,1,23,1792,1816,23,0.012665198237885462
slice_phase_x_tyre,early×16_plus,stream_p_rf,1,0.17,0.6500755943881976,0.1634527200341507,0.5777777777777777,0.6964285714285714,0.4936708860759494,39,17,40,1078,1174,79,0.06729131175468483
slice_phase_x_tyre,early×6_15,stream_p_rf,1,0.17,0.23783522252513042,0.0982364710081887,0.14754098360655737,0.36,0.09278350515463918,9,16,88,3243,3356,97,0.028903456495828365
slice_phase_x_tyre,early×nan,stream_p_rf,1,0.17,0.875,0.14670986762945887,0.6666666666666666,0.5,1.0,4,4,0,56,64,4,0.0625
slice_phase_x_tyre,late×0_5,stream_p_rf,1,0.17,0.06621088938162109,0.040199518796755464,0.0,0.0,0.0,0,0,3,421,424,3,0.007075471698113208
slice_phase_x_tyre,late×16_plus,stream_p_rf,1,0.17,0.15733076740116575,0.07256399574600032,0.15517241379310345,0.11538461538461539,0.23684210526315788,18,138,58,4209,4423,76,0.017182907528826587
slice_phase_x_tyre,late×6_15,stream_p_rf,1,0.17,0.05716789569272221,0.05246351120724746,0.0,0.0,0.0,0,0,18,1683,1701,18,0.010582010582010581
slice_phase_x_tyre,late×nan,stream_p_rf,1,0.17,,,0.0,0.0,0.0,0,0,0,34,34,0,0.0
slice_phase_x_tyre,mid×0_5,stream_p_rf,1,0.17,0.3100139601789422,0.04775770598820347,0.15384615384615385,1.0,0.08333333333333333,1,0,11,1031,1043,12,0.011505273250239693
slice_phase_x_tyre,mid×16_plus,stream_p_rf,1,0.17,0.37514750508574907,0.1976074690086341,0.35213675213675216,0.2791327913279133,0.47685185185185186,103,266,113,2621,3103,216,0.06961005478569127
slice_phase_x_tyre,mid×6_15,stream_p_rf,1,0.17,0.2723882058955334,0.03859374541349951,0.09523809523809523,1.0,0.05,1,0,19,2372,2392,20,0.008361204013377926
slice_phase_x_tyre,mid×nan,stream_p_rf,1,0.17,,,0.0,0.0,0.0,0,0,0,11,11,0,0.0
slice_phase_x_tyre,early×0_5,stream_p_rf,2,0.12,0.05228946606206257,0.16787948731994817,0.03389830508474576,0.034482758620689655,0.03333333333333333,1,28,29,1658,1716,30,0.017482517482517484
slice_phase_x_tyre,early×16_plus,stream_p_rf,2,0.12,0.34330500090283056,0.20521300401608403,0.3223684210526316,0.23444976076555024,0.5157894736842106,49,160,46,1056,1311,95,0.07246376811594203
slice_phase_x_tyre,early×6_15,stream_p_rf,2,0.12,0.21938738717738301,0.07557400688470085,0.20245398773006135,0.125,0.532258064516129,33,231,29,2975,3268,62,0.018971848225214197
slice_phase_x_tyre,early×nan,stream_p_rf,2,0.12,,,0.0,0.0,0.0,0,1,0,32,33,0,0.0
slice_phase_x_tyre,late×0_5,stream_p_rf,2,0.12,0.036176008817254385,0.06255420924826748,0.0,0.0,0.0,0,1,6,484,491,6,0.012219959266802444
slice_phase_x_tyre,late×16_plus,stream_p_rf,2,0.12,0.2745925343299432,0.05771952888573202,0.24836601307189543,0.20212765957446807,0.3220338983050847,19,75,40,3966,4100,59,0.014390243902439025
slice_phase_x_tyre,late×6_15,stream_p_rf,2,0.12,0.061122701091944585,0.03938151344888928,0.1111111111111111,0.2,0.07692307692307693,1,4,12,1844,1861,13,0.006985491671144546
slice_phase_x_tyre,mid×0_5,stream_p_rf,2,0.12,0.04853599858102796,0.06769895600238109,0.0,0.0,0.0,0,1,18,1271,1290,18,0.013953488372093023
slice_phase_x_tyre,mid×16_plus,stream_p_rf,2,0.12,0.3606999285140501,0.24019988562063854,0.35545556805399325,0.24270353302611367,0.6638655462184874,158,493,80,1896,2627,238,0.09059763989341454
slice_phase_x_tyre,mid×6_15,stream_p_rf,2,0.12,0.16080132474389802,0.03951312866249748,0.2631578947368421,0.3333333333333333,0.21739130434782608,5,10,18,2530,2563,23,0.008973858759266484
slice_phase_x_tyre,early×0_5,stream_p_rf,3,0.16,0.2054913579409982,0.13280277933446982,0.10638297872340426,0.29411764705882354,0.06493506493506493,5,12,72,1805,1894,77,0.04065469904963041
slice_phase_x_tyre,early×16_plus,stream_p_rf,3,0.16,0.20490769321580377,0.17106879813016523,0.2753623188405797,0.2345679012345679,0.3333333333333333,19,62,38,1035,1154,57,0.049393414211438474
slice_phase_x_tyre,early×6_15,stream_p_rf,3,0.16,0.14481026648718323,0.08444107579738386,0.1414141414141414,0.23333333333333334,0.10144927536231885,7,23,62,2988,3080,69,0.022402597402597403
slice_phase_x_tyre,early×nan,stream_p_rf,3,0.16,,,0.0,0.0,0.0,0,0,0,222,222,0,0.0
slice_phase_x_tyre,late×0_5,stream_p_rf,3,0.16,0.06593371111028767,0.08429728890972313,0.0392156862745098,0.025,0.09090909090909091,1,39,10,558,608,11,0.018092105263157895
slice_phase_x_tyre,late×16_plus,stream_p_rf,3,0.16,0.16743916231532063,0.08517951789867469,0.22707423580786026,0.18055555555555555,0.3058823529411765,26,118,59,3554,3757,85,0.02262443438914027
slice_phase_x_tyre,late×6_15,stream_p_rf,3,0.16,0.08843163891511574,0.0874248038903839,0.017857142857142856,0.014705882352941176,0.022727272727272728,1,67,43,2073,2184,44,0.020146520146520148
slice_phase_x_tyre,mid×0_5,stream_p_rf,3,0.16,0.3552858291261301,0.04901510043430535,0.2777777777777778,0.22727272727272727,0.35714285714285715,5,17,9,1227,1258,14,0.011128775834658187
