number,value,datetime_start,datetime_complete,duration,params_C,params_calib_cv,params_calib_method,params_class_weight_mode,params_gamma,params_kernel,params_max_iter,params_pos_weight,params_tol,state
109,0.10381341340226109,2026-02-26 13:00:21.633379,2026-02-26 13:02:22.094182,0 days 00:02:00.460803,0.02647787392454699,5,sigmoid,custom,0.06987615749152062,rbf,,41.34568204772192,,COMPLETE
110,0.0859734254087323,2026-02-26 13:02:22.122966,2026-02-26 13:04:23.792537,0 days 00:02:01.669571,0.02125751260288642,5,sigmoid,custom,0.04807545188976529,rbf,,37.9049510790254,,PRUNED
111,0.10427119241008605,2026-02-26 13:04:23.825280,2026-02-26 13:06:59.454274,0 days 00:02:35.628994,0.015884478131911406,5,sigmoid,custom,0.06652542812256024,rbf,,75.67468477265763,,COMPLETE
112,0.10359267547931908,2026-02-26 13:07:00.412559,2026-02-26 13:08:28.157063,0 days 00:01:27.744504,0.05685152462402032,5,sigmoid,custom,0.10329975634345404,rbf,,22.421552850077784,,COMPLETE
113,0.1076460981828248,2026-02-26 13:08:28.205985,2026-02-26 13:10:22.442691,0 days 00:01:54.236706,0.061921992300674106,5,sigmoid,custom,0.23206529892668074,rbf,,22.505355130052145,,COMPLETE
114,0.10439289841331093,2026-02-26 13:10:22.470983,2026-02-26 13:12:22.259411,0 days 00:01:59.788428,0.03679141596194256,5,sigmoid,custom,0.11712867649181495,rbf,,46.0745003313021,,COMPLETE
115,0.10390679797930535,2026-02-26 13:12:22.288730,2026-02-26 13:14:23.191070,0 days 00:02:00.902340,0.02521947567807782,5,sigmoid,custom,0.1015313442247678,rbf,,33.518148260770985,,COMPLETE
116,0.10265879523124917,2026-02-26 13:14:23.219587,2026-02-26 13:15:36.260507,0 days 00:01:13.040920,0.012334294960436545,5,sigmoid,custom,0.045748968926021025,rbf,,13.233319213358918,,COMPLETE
117,0.10268175496304699,2026-02-26 13:15:36.307966,2026-02-26 13:16:45.561660,0 days 00:01:09.253694,0.010777760608997706,5,sigmoid,custom,0.046709486036883144,rbf,,12.526007011892826,,COMPLETE
118,0.08854818600486296,2026-02-26 13:16:45.589651,2026-02-26 13:17:58.571833,0 days 00:01:12.982182,0.010840617992115732,5,sigmoid,custom,0.02931691874107112,rbf,,13.304169583163286,,PRUNED
119,0.11434187252784937,2026-02-26 13:17:58.597593,2026-02-26 13:18:00.228266,0 days 00:00:01.630673,0.006400527393325977,5,sigmoid,custom,,linear,16608.0,10.783743941985831,4.833240634787503e-06,PRUNED
120,0.08672634078332578,2026-02-26 13:18:00.258150,2026-02-26 13:18:47.380391,0 days 00:00:47.122241,0.02172043647439847,3,sigmoid,custom,0.04422885666266511,rbf,,21.252285208502723,,PRUNED
121,0.1090276221981961,2026-02-26 13:18:47.405522,2026-02-26 13:19:56.336879,0 days 00:01:08.931357,0.013041642791502862,5,isotonic,custom,0.059223276653568295,rbf,,12.213933864664924,,COMPLETE
122,0.09301785911009244,2026-02-26 13:19:56.367040,2026-02-26 13:21:28.677648,0 days 00:01:32.310608,0.01918252943475353,5,sigmoid,custom,0.01797217634937296,rbf,,17.848848081504944,,PRUNED
123,0.09142108709645513,2026-02-26 13:21:28.709472,2026-02-26 13:22:55.807376,0 days 00:01:27.097904,0.05605765177524323,5,sigmoid,custom,0.02669269662881721,rbf,,23.056479403189005,,PRUNED
